BOROUGH,DAY_NIGHT_BAND,HOUR_OF_DAY,AVG_MPH
Queens,NOCTURNO (22h-6h),5,37.519360873551
Queens,DIURNO (6h-22h),6,30.652687664503
Queens,DIURNO (6h-22h),7,27.416074192554
Queens,DIURNO (6h-22h),8,25.868814738113
Queens,DIURNO (6h-22h),9,26.585414147953
Queens,DIURNO (6h-22h),10,26.811864077069
Queens,DIURNO (6h-22h),11,27.210330757853
Queens,DIURNO (6h-22h),12,28.546190435674
Queens,DIURNO (6h-22h),13,27.873800723551
Queens,DIURNO (6h-22h),14,27.132548536400
Queens,DIURNO (6h-22h),15,28.310276241551
Queens,DIURNO (6h-22h),16,27.618788495429
Queens,DIURNO (6h-22h),17,27.223197514601
Queens,DIURNO (6h-22h),18,29.365535666869
Queens,DIURNO (6h-22h),19,32.096497025344
Queens,DIURNO (6h-22h),20,33.076281692250
Queens,DIURNO (6h-22h),21,33.788937182693
Queens,NOCTURNO (22h-6h),22,34.552043061065
Queens,NOCTURNO (22h-6h),23,35.563187931952
Staten Island,NOCTURNO (22h-6h),0,184.544976575534
Staten Island,NOCTURNO (22h-6h),1,144.182075102830
Staten Island,NOCTURNO (22h-6h),2,312.900299880000
Staten Island,NOCTURNO (22h-6h),3,226.045780479310
Staten Island,NOCTURNO (22h-6h),4,183.363575298876
Staten Island,NOCTURNO (22h-6h),5,113.182059298013
Staten Island,DIURNO (6h-22h),6,50.544014074074
Staten Island,DIURNO (6h-22h),7,68.943392834783
Staten Island,DIURNO (6h-22h),8,61.698307647514
Staten Island,DIURNO (6h-22h),9,74.679023719393
Staten Island,DIURNO (6h-22h),10,101.786421438926
Staten Island,DIURNO (6h-22h),11,80.849496435733
Staten Island,DIURNO (6h-22h),12,45.311690028439
Staten Island,DIURNO (6h-22h),13,88.591097972727
Staten Island,DIURNO (6h-22h),14,32.769404771402
Staten Island,DIURNO (6h-22h),15,122.122084505684
Staten Island,DIURNO (6h-22h),16,71.996628213667
Staten Island,DIURNO (6h-22h),17,26.286253967950
Staten Island,DIURNO (6h-22h),18,184.784249557437
Staten Island,DIURNO (6h-22h),19,38.469893329584
Staten Island,DIURNO (6h-22h),20,95.747236627441
Staten Island,DIURNO (6h-22h),21,89.079613721911
