TYPE,YEAR_MONTH_KEY,ZONE,TOTAL_TRIPS,RANK
PICKUP,2021-12,Upper East Side North,14678,4
PICKUP,2021-12,,11898,5
PICKUP,2021-12,Upper East Side South,9363,6
PICKUP,2021-12,Upper West Side South,8820,7
PICKUP,2021-12,Lincoln Square East,8544,8
PICKUP,2021-12,Upper West Side South,8523,9
PICKUP,2021-12,Lenox Hill West,8061,10
DROPOFF,2022-01,Upper East Side North,18386,1
DROPOFF,2022-01,Upper East Side South,15934,2
DROPOFF,2022-01,Upper East Side North,13603,3
DROPOFF,2022-01,Upper East Side South,11826,4
DROPOFF,2022-01,,10828,5
DROPOFF,2022-01,Upper East Side North,7564,6
DROPOFF,2022-01,Upper West Side North,7455,7
DROPOFF,2022-01,Lincoln Square East,6831,8
DROPOFF,2022-01,Upper West Side South,6809,9
DROPOFF,2022-01,Lenox Hill West,6765,10
PICKUP,2022-01,Upper East Side South,18386,1
PICKUP,2022-01,Upper East Side North,15934,2
PICKUP,2022-01,Upper East Side North,13603,3
PICKUP,2022-01,Upper East Side South,11826,4
PICKUP,2022-01,,10828,5
PICKUP,2022-01,Lenox Hill West,7564,6
PICKUP,2022-01,Upper West Side South,7455,7
PICKUP,2022-01,Upper West Side South,6831,8
PICKUP,2022-01,Lincoln Square East,6809,9
PICKUP,2022-01,Yorkville West,6765,10
DROPOFF,2022-02,Upper East Side North,20617,1
DROPOFF,2022-02,Upper East Side South,17906,2
DROPOFF,2022-02,Upper East Side North,14543,3
DROPOFF,2022-02,,14520,4
DROPOFF,2022-02,Upper East Side South,13433,5
DROPOFF,2022-02,Upper West Side South,8046,6
DROPOFF,2022-02,Upper West Side North,8040,7
DROPOFF,2022-02,Midtown Center,7911,8
DROPOFF,2022-02,Lincoln Square East,7830,9
DROPOFF,2022-02,Upper East Side North,7615,10
PICKUP,2022-02,Upper East Side South,20617,1
PICKUP,2022-02,Upper East Side North,17906,2
PICKUP,2022-02,Upper East Side North,14543,3
PICKUP,2022-02,,14520,4
PICKUP,2022-02,Upper East Side South,13433,5
PICKUP,2022-02,Lincoln Square East,8046,6
PICKUP,2022-02,Upper West Side South,8040,7
PICKUP,2022-02,Upper East Side South,7911,8
PICKUP,2022-02,Upper West Side South,7830,9
PICKUP,2022-02,Lenox Hill West,7615,10
DROPOFF,2022-03,Upper East Side North,22927,1
DROPOFF,2022-03,,19376,2
DROPOFF,2022-03,Upper East Side South,19140,3
DROPOFF,2022-03,Upper East Side South,15186,4
DROPOFF,2022-03,Upper East Side North,15133,5
DROPOFF,2022-03,Midtown Center,10253,6
DROPOFF,2022-03,Upper East Side South,9743,7
DROPOFF,2022-03,Upper East Side North,8958,8
DROPOFF,2022-03,Lincoln Square East,8835,9
DROPOFF,2022-03,Upper West Side North,8825,10
PICKUP,2022-03,Upper East Side South,22927,1
PICKUP,2022-03,,19376,2
PICKUP,2022-03,Upper East Side North,19140,3
PICKUP,2022-03,Upper East Side South,15186,4
PICKUP,2022-03,Upper East Side North,15133,5
PICKUP,2022-03,Upper East Side South,10253,6
PICKUP,2022-03,Midtown Center,9743,7
PICKUP,2022-03,Midtown Center,8958,8
PICKUP,2022-03,Upper West Side South,8835,9
PICKUP,2022-03,Upper West Side South,8825,10
DROPOFF,2022-04,Upper East Side North,23657,1
DROPOFF,2022-04,Upper East Side South,20195,2
DROPOFF,2022-04,,18841,3
DROPOFF,2022-04,Upper East Side South,15491,4
DROPOFF,2022-04,Upper East Side North,15113,5
DROPOFF,2022-04,Midtown Center,10148,6
DROPOFF,2022-04,Upper East Side South,9284,7
DROPOFF,2022-04,Upper West Side South,8653,8
DROPOFF,2022-04,Lincoln Square East,8650,9
DROPOFF,2022-04,Upper West Side North,8314,10
PICKUP,2022-04,Upper East Side South,23657,1
PICKUP,2022-04,Upper East Side North,20195,2
PICKUP,2022-04,,18841,3
PICKUP,2022-04,Upper East Side South,15491,4
PICKUP,2022-04,Upper East Side North,15113,5
PICKUP,2022-04,Upper East Side South,10148,6
PICKUP,2022-04,Midtown Center,9284,7
PICKUP,2022-04,Lincoln Square East,8653,8
PICKUP,2022-04,Upper West Side South,8650,9
PICKUP,2022-04,Upper West Side South,8314,10
DROPOFF,2022-05,Upper East Side North,24214,1
DROPOFF,2022-05,Upper East Side South,20756,2
DROPOFF,2022-05,,18849,3
DROPOFF,2022-05,Upper East Side South,15541,4
DROPOFF,2022-05,Upper East Side North,14509,5
DROPOFF,2022-05,Midtown Center,10475,6
DROPOFF,2022-05,Upper East Side South,9325,7
DROPOFF,2022-05,Upper West Side South,8610,8
DROPOFF,2022-05,Lincoln Square East,8442,9
DROPOFF,2022-05,JFK Airport,8237,10
PICKUP,2022-05,Upper East Side South,24214,1
PICKUP,2022-05,Upper East Side North,20756,2
PICKUP,2022-05,,18849,3
PICKUP,2022-05,Upper East Side South,15541,4
PICKUP,2022-05,Upper East Side North,14509,5
PICKUP,2022-05,Upper East Side South,10475,6
PICKUP,2022-05,Midtown Center,9325,7
PICKUP,2022-05,Lincoln Square East,8610,8
PICKUP,2022-05,Upper West Side South,8442,9
PICKUP,2022-05,JFK Airport,8237,10
DROPOFF,2022-06,Upper East Side North,22960,1
DROPOFF,2022-06,Upper East Side South,19598,2
DROPOFF,2022-06,,18006,3
DROPOFF,2022-06,Upper East Side South,14945,4
DROPOFF,2022-06,Upper East Side North,13900,5
DROPOFF,2022-06,Midtown Center,10450,6
DROPOFF,2022-06,Upper East Side South,9283,7
DROPOFF,2022-06,Midtown East,8465,8
DROPOFF,2022-06,Upper East Side North,8328,9
DROPOFF,2022-06,Upper West Side South,8326,10
PICKUP,2022-06,Upper East Side South,22960,1
PICKUP,2022-06,Upper East Side North,19598,2
PICKUP,2022-06,,18006,3
PICKUP,2022-06,Upper East Side South,14945,4
PICKUP,2022-06,Upper East Side North,13900,5
PICKUP,2022-06,Upper East Side South,10450,6
PICKUP,2022-06,Midtown Center,9283,7
PICKUP,2022-06,Upper East Side South,8465,8
PICKUP,2022-06,Midtown Center,8328,9
PICKUP,2022-06,Lincoln Square East,8326,10
DROPOFF,2022-07,,18056,1
DROPOFF,2022-07,Upper East Side North,14660,2
DROPOFF,2022-07,Upper East Side South,11907,3
DROPOFF,2022-07,Upper East Side South,10899,4
DROPOFF,2022-07,Upper East Side North,9166,5
DROPOFF,2022-07,Midtown Center,8351,6
DROPOFF,2022-07,Upper East Side South,7815,7
DROPOFF,2022-07,JFK Airport,7034,8
DROPOFF,2022-07,Upper East Side North,6919,9
DROPOFF,2022-07,Midtown East,6866,10
PICKUP,2022-07,,18056,1
PICKUP,2022-07,Upper East Side South,14660,2
PICKUP,2022-07,Upper East Side North,11907,3
PICKUP,2022-07,Upper East Side South,10899,4
PICKUP,2022-07,Upper East Side North,9166,5
PICKUP,2022-07,Upper East Side South,8351,6
PICKUP,2022-07,Midtown Center,7815,7
PICKUP,2022-07,JFK Airport,7034,8
PICKUP,2022-07,Midtown Center,6919,9
PICKUP,2022-07,Upper East Side South,6866,10
DROPOFF,2022-08,,16514,1
DROPOFF,2022-08,Upper East Side North,15160,2
DROPOFF,2022-08,Upper East Side South,12605,3
DROPOFF,2022-08,Upper East Side South,11416,4
DROPOFF,2022-08,Upper East Side North,9335,5
DROPOFF,2022-08,Midtown Center,8459,6
DROPOFF,2022-08,JFK Airport,8184,7
DROPOFF,2022-08,Upper East Side South,7949,8
DROPOFF,2022-08,Midtown Center,7321,9
DROPOFF,2022-08,Upper East Side North,7039,10
PICKUP,2022-08,,16514,1
PICKUP,2022-08,Upper East Side South,15160,2
PICKUP,2022-08,Upper East Side North,12605,3
PICKUP,2022-08,Upper East Side South,11416,4
PICKUP,2022-08,Upper East Side North,9335,5
PICKUP,2022-08,Upper East Side South,8459,6
PICKUP,2022-08,JFK Airport,8184,7
PICKUP,2022-08,Midtown Center,7949,8
PICKUP,2022-08,Penn Station/Madison Sq West,7321,9
PICKUP,2022-08,Midtown Center,7039,10
DROPOFF,2022-09,Upper East Side North,20574,1
DROPOFF,2022-09,Upper East Side South,17455,2
DROPOFF,2022-09,,16493,3
DROPOFF,2022-09,Upper East Side South,13336,4
DROPOFF,2022-09,Upper East Side North,12716,5
DROPOFF,2022-09,JFK Airport,8670,6
DROPOFF,2022-09,Midtown Center,8649,7
DROPOFF,2022-09,Times Sq/Theatre District,7746,8
DROPOFF,2022-09,Upper East Side South,7298,9
DROPOFF,2022-09,Upper West Side South,7172,10
PICKUP,2022-09,Upper East Side South,20574,1
PICKUP,2022-09,Upper East Side North,17455,2
PICKUP,2022-09,,16493,3
PICKUP,2022-09,Upper East Side South,13336,4
PICKUP,2022-09,Upper East Side North,12716,5
PICKUP,2022-09,JFK Airport,8670,6
PICKUP,2022-09,Upper East Side South,8649,7
PICKUP,2022-09,JFK Airport,7746,8
PICKUP,2022-09,Midtown Center,7298,9
PICKUP,2022-09,Lincoln Square East,7172,10
DROPOFF,2022-10,Upper East Side North,24406,1
DROPOFF,2022-10,Upper East Side South,20945,2
DROPOFF,2022-10,Upper East Side South,16460,3
DROPOFF,2022-10,,15960,4
DROPOFF,2022-10,Upper East Side North,15160,5
DROPOFF,2022-10,Midtown Center,10748,6
DROPOFF,2022-10,JFK Airport,10393,7
DROPOFF,2022-10,Upper East Side South,9865,8
DROPOFF,2022-10,Times Sq/Theatre District,9153,9
DROPOFF,2022-10,Upper West Side South,9074,10
PICKUP,2022-10,Upper East Side South,24406,1
PICKUP,2022-10,Upper East Side North,20945,2
PICKUP,2022-10,Upper East Side South,16460,3
PICKUP,2022-10,,15960,4
PICKUP,2022-10,Upper East Side North,15160,5
PICKUP,2022-10,Upper East Side South,10748,6
PICKUP,2022-10,JFK Airport,10393,7
PICKUP,2022-10,Midtown Center,9865,8
PICKUP,2022-10,JFK Airport,9153,9
PICKUP,2022-10,Lincoln Square East,9074,10
DROPOFF,2022-11,Upper East Side North,23325,1
DROPOFF,2022-11,Upper East Side South,19468,2
DROPOFF,2022-11,,15809,3
DROPOFF,2022-11,Upper East Side South,15292,4
DROPOFF,2022-11,Upper East Side North,13954,5
DROPOFF,2022-11,Midtown Center,10185,6
DROPOFF,2022-11,Upper East Side South,9693,7
DROPOFF,2022-11,JFK Airport,8715,8
DROPOFF,2022-11,Upper East Side North,8499,9
DROPOFF,2022-11,Upper West Side South,8215,10
PICKUP,2022-11,Upper East Side South,23325,1
PICKUP,2022-11,Upper East Side North,19468,2
PICKUP,2022-11,,15809,3
PICKUP,2022-11,Upper East Side South,15292,4
PICKUP,2022-11,Upper East Side North,13954,5
PICKUP,2022-11,Upper East Side South,10185,6
PICKUP,2022-11,Midtown Center,9693,7
PICKUP,2022-11,JFK Airport,8715,8
PICKUP,2022-11,Midtown Center,8499,9
PICKUP,2022-11,Lincoln Square East,8215,10
DROPOFF,2022-12,Upper East Side North,22809,1
DROPOFF,2022-12,Upper East Side South,19580,2
DROPOFF,2022-12,,17371,3
DROPOFF,2022-12,Upper East Side South,15844,4
DROPOFF,2022-12,Upper East Side North,15153,5
DROPOFF,2022-12,Upper West Side South,9649,6
DROPOFF,2022-12,Midtown Center,9631,7
DROPOFF,2022-12,Lincoln Square East,8955,8
DROPOFF,2022-12,Upper West Side North,8714,9
DROPOFF,2022-12,JFK Airport,8588,10
PICKUP,2022-12,Upper East Side South,22809,1
PICKUP,2022-12,Upper East Side North,19580,2
PICKUP,2022-12,,17371,3
PICKUP,2022-12,Upper East Side South,15844,4
PICKUP,2022-12,Upper East Side North,15153,5
PICKUP,2022-12,Lincoln Square East,9649,6
PICKUP,2022-12,Upper East Side South,9631,7
PICKUP,2022-12,Upper West Side South,8955,8
PICKUP,2022-12,Upper West Side South,8714,9
PICKUP,2022-12,JFK Airport,8588,10
DROPOFF,2023-01,Upper East Side North,43668,1
DROPOFF,2023-01,Upper East Side South,37158,2
DROPOFF,2023-01,,29970,3
DROPOFF,2023-01,Upper East Side North,29086,4
DROPOFF,2023-01,Upper East Side South,28236,5
DROPOFF,2023-01,Midtown Center,18410,6
DROPOFF,2023-01,Upper East Side South,18304,7
DROPOFF,2023-01,Upper East Side North,16840,8
DROPOFF,2023-01,Upper East Side North,16282,9
DROPOFF,2023-01,Upper West Side South,16064,10
PICKUP,2023-01,Upper East Side South,43668,1
PICKUP,2023-01,Upper East Side North,37158,2
PICKUP,2023-01,,29970,3
PICKUP,2023-01,Upper East Side North,29086,4
PICKUP,2023-01,Upper East Side South,28236,5
PICKUP,2023-01,Upper East Side South,18410,6
PICKUP,2023-01,Midtown Center,18304,7
PICKUP,2023-01,Midtown Center,16840,8
PICKUP,2023-01,Lenox Hill West,16282,9
PICKUP,2023-01,Lincoln Square East,16064,10
DROPOFF,2023-02,Upper East Side North,19416,1
DROPOFF,2023-02,,18876,2
DROPOFF,2023-02,Upper East Side South,16742,3
DROPOFF,2023-02,Upper East Side North,13243,4
DROPOFF,2023-02,Upper East Side South,12506,5
DROPOFF,2023-02,Upper East Side South,8663,6
DROPOFF,2023-02,Midtown Center,8257,7
DROPOFF,2023-02,Upper East Side North,8016,8
DROPOFF,2023-02,Upper West Side North,7375,9
DROPOFF,2023-02,Upper West Side South,7364,10
PICKUP,2023-02,Upper East Side South,19416,1
PICKUP,2023-02,,18876,2
PICKUP,2023-02,Upper East Side North,16742,3
PICKUP,2023-02,Upper East Side North,13243,4
PICKUP,2023-02,Upper East Side South,12506,5
PICKUP,2023-02,Midtown Center,8663,6
PICKUP,2023-02,Upper East Side South,8257,7
PICKUP,2023-02,Midtown Center,8016,8
PICKUP,2023-02,Upper West Side South,7375,9
PICKUP,2023-02,Lincoln Square East,7364,10
DROPOFF,2023-03,,27254,1
DROPOFF,2023-03,Upper East Side North,21394,2
DROPOFF,2023-03,Upper East Side South,18227,3
DROPOFF,2023-03,Upper East Side North,14551,4
DROPOFF,2023-03,Upper East Side South,14246,5
DROPOFF,2023-03,Upper East Side South,10179,6
DROPOFF,2023-03,Midtown Center,9927,7
DROPOFF,2023-03,Upper East Side North,9035,8
DROPOFF,2023-03,Upper West Side South,8694,9
DROPOFF,2023-03,Upper West Side North,8441,10
PICKUP,2023-03,,27254,1
PICKUP,2023-03,Upper East Side South,21394,2
PICKUP,2023-03,Upper East Side North,18227,3
PICKUP,2023-03,Upper East Side North,14551,4
PICKUP,2023-03,Upper East Side South,14246,5
PICKUP,2023-03,Midtown Center,10179,6
PICKUP,2023-03,Upper East Side South,9927,7
PICKUP,2023-03,Midtown Center,9035,8
PICKUP,2023-03,Lincoln Square East,8694,9
PICKUP,2023-03,Upper West Side South,8441,10
DROPOFF,2023-04,,30895,1
DROPOFF,2023-04,Upper East Side North,22235,2
DROPOFF,2023-04,Upper East Side South,18754,3
DROPOFF,2023-04,Upper East Side North,14554,4
DROPOFF,2023-04,Upper East Side South,14547,5
DROPOFF,2023-04,Upper East Side South,9801,6
DROPOFF,2023-04,Midtown Center,9458,7
DROPOFF,2023-04,Upper East Side North,8775,8
DROPOFF,2023-04,Times Sq/Theatre District,8641,9
DROPOFF,2023-04,Upper West Side South,8591,10
PICKUP,2023-04,,30895,1
PICKUP,2023-04,Upper East Side South,22235,2
PICKUP,2023-04,Upper East Side North,18754,3
PICKUP,2023-04,Upper East Side North,14554,4
PICKUP,2023-04,Upper East Side South,14547,5
PICKUP,2023-04,Midtown Center,9801,6
PICKUP,2023-04,Upper East Side South,9458,7
PICKUP,2023-04,Midtown Center,8775,8
PICKUP,2023-04,JFK Airport,8641,9
PICKUP,2023-04,Lincoln Square East,8591,10
DROPOFF,2023-05,,32953,1
DROPOFF,2023-05,Upper East Side North,25144,2
DROPOFF,2023-05,Upper East Side South,21521,3
DROPOFF,2023-05,Upper East Side South,16951,4
DROPOFF,2023-05,Upper East Side North,15918,5
DROPOFF,2023-05,Upper East Side South,11757,6
DROPOFF,2023-05,Midtown Center,11380,7
DROPOFF,2023-05,Upper East Side North,9958,8
DROPOFF,2023-05,Upper West Side South,8990,9
DROPOFF,2023-05,Lincoln Square East,8635,10
PICKUP,2023-05,,32953,1
PICKUP,2023-05,Upper East Side South,25144,2
PICKUP,2023-05,Upper East Side North,21521,3
PICKUP,2023-05,Upper East Side South,16951,4
PICKUP,2023-05,Upper East Side North,15918,5
PICKUP,2023-05,Midtown Center,11757,6
PICKUP,2023-05,Upper East Side South,11380,7
PICKUP,2023-05,Midtown Center,9958,8
PICKUP,2023-05,Lincoln Square East,8990,9
PICKUP,2023-05,Upper West Side South,8635,10
DROPOFF,2023-06,,29083,1
DROPOFF,2023-06,Upper East Side North,21511,2
DROPOFF,2023-06,Upper East Side South,18540,3
DROPOFF,2023-06,Upper East Side South,14663,4
DROPOFF,2023-06,Upper East Side North,14215,5
DROPOFF,2023-06,Upper East Side South,10510,6
DROPOFF,2023-06,Midtown Center,10485,7
DROPOFF,2023-06,Upper East Side North,8948,8
DROPOFF,2023-06,Midtown East,8358,9
DROPOFF,2023-06,Upper West Side South,8052,10
PICKUP,2023-06,,29083,1
PICKUP,2023-06,Upper East Side South,21511,2
PICKUP,2023-06,Upper East Side North,18540,3
PICKUP,2023-06,Upper East Side South,14663,4
PICKUP,2023-06,Upper East Side North,14215,5
PICKUP,2023-06,Midtown Center,10510,6
PICKUP,2023-06,Upper East Side South,10485,7
PICKUP,2023-06,Midtown Center,8948,8
PICKUP,2023-06,Upper East Side South,8358,9
PICKUP,2023-06,Lincoln Square East,8052,10
DROPOFF,2023-07,,25426,1
DROPOFF,2023-07,Upper East Side North,14361,2
DROPOFF,2023-07,Upper East Side South,11838,3
DROPOFF,2023-07,Upper East Side South,10941,4
DROPOFF,2023-07,Upper East Side North,9690,5
DROPOFF,2023-07,Midtown Center,8537,6
DROPOFF,2023-07,Upper East Side South,8519,7
DROPOFF,2023-07,Times Sq/Theatre District,7506,8
DROPOFF,2023-07,Upper East Side North,7231,9
DROPOFF,2023-07,Midtown East,6812,10
PICKUP,2023-07,,25426,1
PICKUP,2023-07,Upper East Side South,14361,2
PICKUP,2023-07,Upper East Side North,11838,3
PICKUP,2023-07,Upper East Side South,10941,4
PICKUP,2023-07,Upper East Side North,9690,5
PICKUP,2023-07,Upper East Side South,8537,6
PICKUP,2023-07,Midtown Center,8519,7
PICKUP,2023-07,JFK Airport,7506,8
PICKUP,2023-07,Midtown Center,7231,9
PICKUP,2023-07,Upper East Side South,6812,10
DROPOFF,2023-08,,22825,1
DROPOFF,2023-08,Upper East Side North,13887,2
DROPOFF,2023-08,Upper East Side South,11661,3
DROPOFF,2023-08,Upper East Side South,10890,4
DROPOFF,2023-08,Upper East Side North,8781,5
DROPOFF,2023-08,Upper East Side South,8465,6
DROPOFF,2023-08,Midtown Center,8149,7
DROPOFF,2023-08,Upper East Side North,7180,8
DROPOFF,2023-08,Times Sq/Theatre District,6909,9
DROPOFF,2023-08,Midtown East,6666,10
PICKUP,2023-08,,22825,1
PICKUP,2023-08,Upper East Side South,13887,2
PICKUP,2023-08,Upper East Side North,11661,3
PICKUP,2023-08,Upper East Side South,10890,4
PICKUP,2023-08,Upper East Side North,8781,5
PICKUP,2023-08,Midtown Center,8465,6
PICKUP,2023-08,Upper East Side South,8149,7
PICKUP,2023-08,Midtown Center,7180,8
PICKUP,2023-08,JFK Airport,6909,9
PICKUP,2023-08,Upper East Side South,6666,10
DROPOFF,2023-09,,23005,1
DROPOFF,2023-09,Upper East Side North,19426,2
DROPOFF,2023-09,Upper East Side South,16804,3
DROPOFF,2023-09,Upper East Side South,13624,4
DROPOFF,2023-09,Upper East Side North,12863,5
DROPOFF,2023-09,Midtown Center,8442,6
DROPOFF,2023-09,Upper East Side South,8299,7
DROPOFF,2023-09,Times Sq/Theatre District,7394,8
DROPOFF,2023-09,Upper West Side South,6863,9
DROPOFF,2023-09,Lincoln Square East,6733,10
PICKUP,2023-09,,23005,1
PICKUP,2023-09,Upper East Side South,19426,2
PICKUP,2023-09,Upper East Side North,16804,3
PICKUP,2023-09,Upper East Side South,13624,4
PICKUP,2023-09,Upper East Side North,12863,5
PICKUP,2023-09,Upper East Side South,8442,6
PICKUP,2023-09,Midtown Center,8299,7
PICKUP,2023-09,JFK Airport,7394,8
PICKUP,2023-09,Lincoln Square East,6863,9
PICKUP,2023-09,Upper West Side South,6733,10
DROPOFF,2023-10,,24877,1
DROPOFF,2023-10,Upper East Side North,24439,2
DROPOFF,2023-10,Upper East Side South,21113,3
DROPOFF,2023-10,Upper East Side South,16442,4
DROPOFF,2023-10,Upper East Side North,15502,5
DROPOFF,2023-10,Upper East Side South,11850,6
DROPOFF,2023-10,Midtown Center,11144,7
DROPOFF,2023-10,Upper East Side North,9949,8
DROPOFF,2023-10,Upper West Side South,9417,9
DROPOFF,2023-10,Times Sq/Theatre District,9067,10
PICKUP,2023-10,,24877,1
PICKUP,2023-10,Upper East Side South,24439,2
PICKUP,2023-10,Upper East Side North,21113,3
PICKUP,2023-10,Upper East Side South,16442,4
PICKUP,2023-10,Upper East Side North,15502,5
PICKUP,2023-10,Midtown Center,11850,6
PICKUP,2023-10,Upper East Side South,11144,7
PICKUP,2023-10,Midtown Center,9949,8
PICKUP,2023-10,Lincoln Square East,9417,9
PICKUP,2023-10,JFK Airport,9067,10
DROPOFF,2023-11,Upper East Side North,24417,1
DROPOFF,2023-11,,21061,2
DROPOFF,2023-11,Upper East Side South,21041,3
DROPOFF,2023-11,Upper East Side South,16750,4
DROPOFF,2023-11,Upper East Side North,16225,5
DROPOFF,2023-11,Upper East Side South,11963,6
DROPOFF,2023-11,Midtown Center,11039,7
DROPOFF,2023-11,Upper East Side North,10075,8
DROPOFF,2023-11,Upper West Side South,8678,9
DROPOFF,2023-11,Midtown East,8627,10
PICKUP,2023-11,Upper East Side South,24417,1
PICKUP,2023-11,,21061,2
PICKUP,2023-11,Upper East Side North,21041,3
PICKUP,2023-11,Upper East Side South,16750,4
PICKUP,2023-11,Upper East Side North,16225,5
PICKUP,2023-11,Midtown Center,11963,6
PICKUP,2023-11,Upper East Side South,11039,7
PICKUP,2023-11,Midtown Center,10075,8
PICKUP,2023-11,Lincoln Square East,8678,9
PICKUP,2023-11,Upper East Side South,8627,10
DROPOFF,2023-12,Upper East Side North,24644,1
DROPOFF,2023-12,Upper East Side South,21420,2
DROPOFF,2023-12,Upper East Side South,17245,3
DROPOFF,2023-12,Upper East Side North,16924,4
DROPOFF,2023-12,Upper East Side South,9934,5
DROPOFF,2023-12,Midtown Center,9777,6
DROPOFF,2023-12,Upper West Side South,9725,7
DROPOFF,2023-12,,9336,8
DROPOFF,2023-12,Lincoln Square East,9245,9
DROPOFF,2023-12,Midtown East,9124,10
PICKUP,2023-12,Upper East Side South,24644,1
PICKUP,2023-12,Upper East Side North,21420,2
PICKUP,2023-12,Upper East Side South,17245,3
PICKUP,2023-12,Upper East Side North,16924,4
PICKUP,2023-12,Midtown Center,9934,5
PICKUP,2023-12,Upper East Side South,9777,6
PICKUP,2023-12,Lincoln Square East,9725,7
PICKUP,2023-12,,9336,8
PICKUP,2023-12,Upper West Side South,9245,9
PICKUP,2023-12,Upper East Side South,9124,10
DROPOFF,2024-01,Upper East Side North,21327,1
DROPOFF,2024-01,Upper East Side South,18827,2
DROPOFF,2024-01,Upper East Side North,15355,3
DROPOFF,2024-01,Upper East Side South,14306,4
DROPOFF,2024-01,Upper East Side South,10021,5
DROPOFF,2024-01,Upper West Side South,8695,6
DROPOFF,2024-01,Midtown Center,8586,7
DROPOFF,2024-01,Upper East Side North,8482,8
DROPOFF,2024-01,Lincoln Square East,8329,9
DROPOFF,2024-01,Upper West Side North,8147,10
PICKUP,2024-01,Upper East Side South,21327,1
PICKUP,2024-01,Upper East Side North,18827,2
PICKUP,2024-01,Upper East Side North,15355,3
PICKUP,2024-01,Upper East Side South,14306,4
PICKUP,2024-01,Midtown Center,10021,5
PICKUP,2024-01,Lincoln Square East,8695,6
PICKUP,2024-01,Upper East Side South,8586,7
PICKUP,2024-01,Midtown Center,8482,8
PICKUP,2024-01,Upper West Side South,8329,9
PICKUP,2024-01,Upper West Side South,8147,10
DROPOFF,2024-02,Upper East Side North,20424,1
DROPOFF,2024-02,Upper East Side South,17942,2
DROPOFF,2024-02,Upper East Side North,14968,3
DROPOFF,2024-02,Upper East Side South,13587,4
DROPOFF,2024-02,Upper East Side South,9995,5
DROPOFF,2024-02,Lincoln Square East,8517,6
DROPOFF,2024-02,Upper East Side North,8449,7
DROPOFF,2024-02,Midtown Center,8399,8
DROPOFF,2024-02,Upper West Side South,8021,9
DROPOFF,2024-02,Upper West Side North,7755,10
PICKUP,2024-02,Upper East Side South,20424,1
PICKUP,2024-02,Upper East Side North,17942,2
PICKUP,2024-02,Upper East Side North,14968,3
PICKUP,2024-02,Upper East Side South,13587,4
PICKUP,2024-02,Midtown Center,9995,5
PICKUP,2024-02,Upper West Side South,8517,6
PICKUP,2024-02,Midtown Center,8449,7
PICKUP,2024-02,Upper East Side South,8399,8
PICKUP,2024-02,Lincoln Square East,8021,9
PICKUP,2024-02,Upper West Side South,7755,10
DROPOFF,2024-03,Upper East Side North,20649,1
DROPOFF,2024-03,Upper East Side South,18120,2
DROPOFF,2024-03,Upper East Side North,14964,3
DROPOFF,2024-03,Upper East Side South,14314,4
DROPOFF,2024-03,Upper East Side South,10223,5
DROPOFF,2024-03,Upper West Side South,9267,6
DROPOFF,2024-03,Midtown Center,8809,7
DROPOFF,2024-03,Upper West Side North,8638,8
DROPOFF,2024-03,Lincoln Square East,8606,9
DROPOFF,2024-03,Upper East Side North,8602,10
PICKUP,2024-03,Upper East Side South,20649,1
PICKUP,2024-03,Upper East Side North,18120,2
PICKUP,2024-03,Upper East Side North,14964,3
PICKUP,2024-03,Upper East Side South,14314,4
PICKUP,2024-03,Midtown Center,10223,5
PICKUP,2024-03,Lincoln Square East,9267,6
PICKUP,2024-03,Upper East Side South,8809,7
PICKUP,2024-03,Upper West Side South,8638,8
PICKUP,2024-03,Upper West Side South,8606,9
PICKUP,2024-03,Midtown Center,8602,10
DROPOFF,2024-04,Upper East Side North,23649,1
DROPOFF,2024-04,Upper East Side South,20062,2
DROPOFF,2024-04,Upper East Side North,15858,3
DROPOFF,2024-04,Upper East Side South,15412,4
DROPOFF,2024-04,Upper East Side South,10842,5
DROPOFF,2024-04,Midtown Center,9209,6
DROPOFF,2024-04,Upper East Side North,9173,7
DROPOFF,2024-04,Upper West Side South,8529,8
DROPOFF,2024-04,Lincoln Square East,8429,9
DROPOFF,2024-04,Times Sq/Theatre District,8148,10
PICKUP,2024-04,Upper East Side South,23649,1
PICKUP,2024-04,Upper East Side North,20062,2
PICKUP,2024-04,Upper East Side North,15858,3
PICKUP,2024-04,Upper East Side South,15412,4
PICKUP,2024-04,Midtown Center,10842,5
PICKUP,2024-04,Upper East Side South,9209,6
PICKUP,2024-04,Midtown Center,9173,7
PICKUP,2024-04,Lincoln Square East,8529,8
PICKUP,2024-04,Upper West Side South,8429,9
PICKUP,2024-04,JFK Airport,8148,10
DROPOFF,2024-05,Upper East Side North,26568,1
DROPOFF,2024-05,Upper East Side South,22585,2
DROPOFF,2024-05,Upper East Side South,17546,3
DROPOFF,2024-05,Upper East Side North,17229,4
DROPOFF,2024-05,Upper East Side South,12408,5
DROPOFF,2024-05,Midtown Center,10804,6
DROPOFF,2024-05,Upper East Side North,10154,7
DROPOFF,2024-05,Midtown East,9305,8
DROPOFF,2024-05,Upper West Side South,9161,9
DROPOFF,2024-05,Lincoln Square East,9036,10
PICKUP,2024-05,Upper East Side South,26568,1
PICKUP,2024-05,Upper East Side North,22585,2
PICKUP,2024-05,Upper East Side South,17546,3
PICKUP,2024-05,Upper East Side North,17229,4
PICKUP,2024-05,Midtown Center,12408,5
PICKUP,2024-05,Upper East Side South,10804,6
PICKUP,2024-05,Midtown Center,10154,7
PICKUP,2024-05,Upper East Side South,9305,8
